sector,total_bytes,requests,html_bytes,css_bytes,js_bytes,image_bytes,font_bytes,media_bytes,green_hosting,co2e_grams_per_view,swd_rating
florist,6992578,56,5993,58216,230399,6483930,214040,0,yes,0.8463,F
estate-agency,6998533,29,49943,205543,373762,268739,63308,6037238,yes,0.8470,F
veterinary,7204155,70,19553,120990,307754,6755858,0,0,yes,0.8719,F
florist,7556037,57,12192,145082,464456,2873011,4061296,0,yes,0.9145,F
restaurant,8051271,17,10894,15008,597636,7427733,0,0,no,1.1932,F
plumbing-heating,9588086,30,6383,31477,310170,9120524,119532,0,yes,1.1604,F
building,10214624,73,20020,378473,927723,8888408,0,0,yes,1.2363,F
landscaping,10574053,31,84734,13555,384186,1762842,79828,8248908,no,1.5671,F
landscaping,11868709,63,5817,24130,163498,11619286,55978,0,no,1.7589,F
building,12444479,36,6914,40927,354651,1107451,147325,10787211,yes,1.5062,F
physiotherapy,13417838,50,17039,49032,278501,12742492,330774,0,no,1.9885,F
accountancy,14851133,28,11221,87900,276557,14370183,105272,0,yes,1.7974,F
plumbing-heating,23110139,45,111601,155289,244093,1490263,209408,20899485,yes,2.7970,F
